title,author,length
The Ashes and the Star-Cursed King,By: Carissa Broadbent,Length: 19 hrs and 27 mins
The Hero of Ages,By: Brandon Sanderson,Length: 27 hrs and 25 mins
"Microdosing for Health, Healing, and Enhanced Performance","By: James Fadiman PhD, Jordan Gruber JD",Length: 11 hrs and 8 mins
Finlay Donovan Digs Her Own Grave,By: Elle Cosimano,Length: 9 hrs and 11 mins
A Gentleman for Lady Juniper,By: Sally Britton,Length: 7 hrs and 28 mins
Empire of Storms,By: Sarah J. Maas,Length: 25 hrs and 18 mins
Words of Radiance,By: Brandon Sanderson,Length: 48 hrs and 15 mins
"Harry Potter and the Sorcerer's Stone, Book 1",By: J.K. Rowling,Length: 8 hrs and 18 mins
The Boyfriend,By: Freida McFadden,Length: 9 hrs and 20 mins
The End of Insanity: Part 1,By: KamikazePotato,Length: 18 hrs and 38 mins
Rise of the Strongest Girl Next Door 1,"By: Yuki Knightley, Gwen Grayson",Length: 10 hrs
"Harry Potter and the Deathly Hallows, Book 7",By: J.K. Rowling,Length: 21 hrs and 36 mins
Rhythm of War,By: Brandon Sanderson,Length: 57 hrs and 26 mins
Never Lie,By: Freida McFadden,Length: 7 hrs and 20 mins
Rift Magus Reborn 2,By: Sam Winton,Length: 7 hrs and 55 mins
Master of the Manor Omnibus: Books 1-3,By: Dante King,Length: 30 hrs and 8 mins
A Dragon of Black Glass,By: James Rollins,Length: 23 hrs and 13 mins
Sherlock Holmes: A Year of Mystery 1886,"By: Richard Ryan, Chris Chan, Rob Nisbet, David Marcum, Will Murray, Mike Adamson, Paul Hiscock, Katy Darby, Derrick Belanger, Stephen Herczeg, Hasan Acram, Gustavo Bondony, Shelby Phoenix",Length: 12 hrs and 52 mins
"Harry Potter and the Half-Blood Prince, Book 6",By: J.K. Rowling,Length: 18 hrs and 32 mins
USS Freedom: Hydromass,By: Mark Wayne McGinnis,Length: 9 hrs and 59 mins
Creation's Bane,By: Kevin Sinclair,Length: 19 hrs and 3 mins
The Best Erotic Short Stories of 2025,By: Rayna Russell,Length: 3 hrs and 35 mins
Priest: A Love Story,By: Sierra Simone,Length: 8 hrs and 7 mins
Jesus from Outer Space,By: Richard Carrier,Length: 7 hrs and 42 mins
The Housemaid's Secret,By: Freida McFadden,Length: 9 hrs and 44 mins
Shadow Work Rebirth 2-in-1,By: Isabelle Grey,Length: 11 hrs and 12 mins
The Genius,By: Theodore Dreiser,Length: 31 hrs and 49 mins
Denali,By: Austin Bunn,Length: 1 hr and 16 mins
"Solving Single, 10 Year Anniversary Edition",By: G.L. Lambert,Length: 13 hrs and 5 mins
Net Bet,"By: Ryan Taylor, Joshua Harwood",Length: 7 hrs and 14 mins
Defiance of the Fall 14,"By: TheFirstDefier, JF Brink",Length: 21 hrs and 54 mins
The Two Towers,By: J. R. R. Tolkien,Length: 20 hrs and 46 mins
Golden State,By: Michael Hiltzik,Length: 14 hrs and 52 mins
Son of the Hero King 6,By: Hikaru Genji,Length: 8 hrs and 48 mins
Filthy Savage,By: Lilian Harris,Length: 11 hrs and 28 mins
The Well of Ascension,By: Brandon Sanderson,Length: 28 hrs and 56 mins
Trickery,"By: Jaymin Eve, Jane Washington",Length: 8 hrs and 18 mins
Crash-Landed in Love,"By: Piper Scott, Renee Fox",Length: 10 hrs and 48 mins
Back in Your Arms,By: Luke Sobota,Length: 1 hr and 2 mins
The Chronicles of Narnia Complete Audio Collection,By: C. S. Lewis,Length: 33 hrs and 45 mins
Stepbrother Dearest,By: Penelope Ward,Length: 7 hrs and 58 mins
By Any Other Name,By: Jodi Picoult,Length: 18 hrs and 25 mins
Iron Flame (Part 2 of 2) (Dramatized Adaptation),By: Rebecca Yarros,Length: 9 hrs and 27 mins
The Accidental Witch,By: Dakota Cassidy,Length: 6 hrs and 34 mins
Casualties of Consequence,"By: J.N. Chaney, Terry Maggert",Length: 13 hrs and 45 mins
Elon Musk,By: Walter Isaacson,Length: 20 hrs and 39 mins
Elon Musk,By: Walter Isaacson,Length: 20 hrs and 39 mins
Iron Flame,By: Rebecca Yarros,Length: 28 hrs and 16 mins
Hope Springs Books 1-3 Box Set,By: Valerie M. Bodden,Length: 18 hrs and 37 mins
A Clash of Kings,By: George R.R. Martin,Length: 37 hrs and 12 mins
The Complete Poppy War Trilogy,By: R. F. Kuang,Length: 66 hrs and 29 mins
A Court of Mist and Fury,By: Sarah J. Maas,Length: 23 hrs and 16 mins
Breaking the Habit of Being Yourself,By: Joe Dispenza,Length: 10 hrs and 49 mins
Requirements,By: SunriseCV,Length: 19 hrs and 45 mins
Filthy Savage,By: Lilian Harris,Length: 11 hrs and 28 mins
Trickery,"By: Jaymin Eve, Jane Washington",Length: 8 hrs and 18 mins
"The Word of Promise Audio Bible—New King James Version, NKJV: Complete Bible",By: Thomas Nelson Inc.,Length: 98 hrs and 1 min
Stepbrother Dearest,By: Penelope Ward,Length: 7 hrs and 58 mins
My Pucking Crush,"By: Tori Chase, Deborah Garland",Length: 8 hrs and 28 mins
The Genius,By: Theodore Dreiser,Length: 31 hrs and 49 mins
Fourth Wing (Part 1 of 2) (Dramatized Adaptation),By: Rebecca Yarros,Length: 7 hrs and 52 mins
Sabotage,By: Shantel Tessier,Length: 7 hrs and 12 mins
The Blind Man's Eyes,"By: Edwin Balmer, William MacHarg",Length: 11 hrs and 26 mins
The 5 Second Rule,By: Mel Robbins,Length: 7 hrs and 35 mins
Secrets of the Frostbound Cottage,"By: Heather G. Harris, Ella Stone",Length: 2 hrs and 9 mins
Golden Son,By: Pierce Brown,Length: 19 hrs and 3 mins
A Court of Silver Flames,By: Sarah J. Maas,Length: 26 hrs and 5 mins
The Five Year Lie,By: Sarina Bowen,Length: 12 hrs and 41 mins
Golden Son,By: Pierce Brown,Length: 19 hrs and 3 mins
Deal with the Devil,By: Deborah Garland,Length: 8 hrs and 18 mins
A Court of Mist and Fury (Part 2 of 2) (Dramatized Adaptation),By: Sarah J. Maas,Length: 8 hrs and 23 mins
Bedtime Stories for Stressed Adults: Mythical Gods and Heroes,By: Sleepy Willow,Length: 14 hrs and 38 mins
The Crash,By: Freida McFadden,Length: 9 hrs and 13 mins
Yesterday's Paper,By: Jean Grainger,Length: 9 hrs and 33 mins
Fae and Fare,By: pirateaba,Length: 61 hrs and 4 mins
House of Sky and Breath,By: Sarah J. Maas,Length: 27 hrs and 42 mins
Little Sunshine,By: Layla Frost,Length: 11 hrs and 35 mins
Iron Flame (Part 1 of 2) (Dramatized Adaptation),By: Rebecca Yarros,Length: 11 hrs and 38 mins
The Laws of Human Nature,By: Robert Greene,Length: 28 hrs and 26 mins
He Who Fights with Monsters: A LitRPG Adventure,"By: Shirtaloon, Travis Deverell",Length: 28 hrs and 56 mins
The Eye of the Bedlam Bride,By: Matt Dinniman,Length: 26 hrs and 46 mins
The Secrets We Hide,By: Berlin Wick,Length: 8 hrs and 49 mins
Fire for Effect,By: Molly Briar,Length: 9 hrs and 44 mins
Shadow Heart,By: Morgan B Lee,Length: 13 hrs and 12 mins
Reborn as a Space Mercenary: I Woke Up Piloting the Strongest Starship! (Light Novel) Vol. 11,By: Ryuto,Length: 5 hrs and 56 mins
Jorah,By: Michele Notaro,Length: 11 hrs and 12 mins
The Things We Leave Unfinished,By: Rebecca Yarros,Length: 14 hrs and 32 mins
Son of the Hero King 6,By: Hikaru Genji,Length: 8 hrs and 48 mins
The Fellowship of the Ring,By: J. R. R. Tolkien,Length: 19 hrs and 7 mins
The Maker's Metal 2,"By: Dante King, Matt Waid",Length: 8 hrs and 2 mins
The Love in Duet Collection,By: Lauren Blakely,Length: 32 hrs and 45 mins
Bedtime Stories for Stressed Adults: Mythical Gods and Heroes,By: Sleepy Willow,Length: 14 hrs and 38 mins
Cyrus the Great Makers of History,By: Jacob Abbott,Length: 7 hrs and 3 mins
This Inevitable Ruin,By: Matt Dinniman,Length: 28 hrs and 40 mins
Roadtrip,By: Travis Bagwell,Length: 25 hrs and 40 mins
Wicked,By: Gregory Maguire,Length: 19 hrs and 42 mins
Alien Clay,By: Adrian Tchaikovsky,Length: 13 hrs and 56 mins
Black Hamptons 2,By: Carl Weber,Length: 9 hrs and 45 mins
Just Beyond the Light,By: D. Randall Blythe,Length: 8 hrs and 16 mins
Curvy Girl Summer,By: Danielle Allen,Length: 12 hrs and 23 mins
One Dark Window,By: Rachel Gillig,Length: 12 hrs and 44 mins
Why We Sleep,By: Matthew Walker,Length: 13 hrs and 52 mins
The Great Controversy,By: Ellen G. White,Length: 22 hrs and 12 mins
Scythe & Sparrow,By: Brynne Weaver,Length: 11 hrs and 36 mins
A Court of Thorns and Roses,By: Sarah J. Maas,Length: 16 hrs and 7 mins
Heir of Fire,By: Sarah J. Maas,Length: 17 hrs and 56 mins
House of Crimson Curses,By: Ruby Roe,Length: 12 hrs and 25 mins
Project Hail Mary,By: Andy Weir,Length: 16 hrs and 10 mins
The Nightingale,By: Kristin Hannah,Length: 17 hrs and 19 mins
Reborn as a Space Mercenary: I Woke Up Piloting the Strongest Starship! (Light Novel) Vol. 11,By: Ryuto,Length: 5 hrs and 56 mins
Gentle,By: Courtney Carver,Length: 8 hrs and 29 mins
A Court of Mist and Fury (Part 1 of 2) (Dramatized Adaptation),By: Sarah J. Maas,Length: 8 hrs and 26 mins
"Reincarnated as a Sword (Light Novel), Vol. 10",By: Yuu Tanaka,Length: 7 hrs and 33 mins
"Harry Potter and the Goblet of Fire, Book 4",By: J.K. Rowling,Length: 20 hrs and 36 mins
Fairy Tale,By: Stephen King,Length: 24 hrs and 6 mins
His Realm,By: Mary Calmes,Length: 8 hrs and 34 mins
Before You Climb Any Higher,By: Jonathan McReynolds,Length: 5 hrs and 47 mins
Rich Dad Poor Dad: 20th Anniversary Edition,By: Robert T. Kiyosaki,Length: 8 hrs and 22 mins
Pseudoscience,"By: Lydia Kang MD, Nate Pedersen",Length: 9 hrs and 51 mins
The Life Impossible,By: Matt Haig,Length: 10 hrs and 43 mins
Cold Iron Task,By: James J. Butcher,Length: 12 hrs and 16 mins
Presidents at War,By: Steven M. Gillon,Length: 17 hrs and 22 mins
Torrent Witches Cozy Mysteries Complete Box Set: Books 1-10,By: Tess Lake,Length: 65 hrs and 31 mins
Una confesión póstuma [A Posthumous Confession],"By: Marcellus Emants, Gonzalo Fernández",Length: 9 hrs and 11 mins
Steal My Heart,By: Laura Pavlov,Length: 9 hrs
The Finish Line,By: Kate Stewart,Length: 14 hrs and 39 mins
"Urban Gardening and Raised Bed Gardening Guidebooks for Beginners Trilogy: For Small Space, Backyard Mini & Container Gardens",By: David Whitehead,Length: 15 hrs and 3 mins
The Big Empty,By: Robert Crais,Length: 8 hrs and 25 mins
Uneasy Street,By: Becky Wade,Length: 10 hrs and 12 mins
"Adult ADHD: Empower Your Mind, Transform Your Life",By: Briana Flitch,Length: 5 hrs and 54 mins
How to Talk to Anyone,By: Leil Lowndes,Length: 8 hrs and 59 mins
The History of the Ancient World,By: Susan Wise Bauer,Length: 26 hrs and 20 mins
He Who Fights with Monsters 2,"By: Shirtaloon, Travis Deverell",Length: 22 hrs and 1 min
Nesting,By: Roisín O'Donnell,Length: 10 hrs and 12 mins
48 Laws of Power,By: Robert Greene,Length: 23 hrs and 6 mins
Caleb the Cam Boy,"By: Chance Christopher, Bella Liddell",Length: 13 hrs and 21 mins
Henry V,By: Dan Jones,Length: 14 hrs and 41 mins
Between the Lines,By: Keith LaFoe,Length: 2 hrs and 15 mins
Able Bodied Soldier 1,"By: Jason Anspach, J.N. Chaney",Length: 12 hrs and 47 mins
"Harry Potter and the Chamber of Secrets, Book 2",By: J.K. Rowling,Length: 9 hrs and 2 mins
"Harry Potter and the Prisoner of Azkaban, Book 3",By: J.K. Rowling,Length: 11 hrs and 49 mins
Ghostly Target,By: E.M. Leya,Length: 5 hrs and 39 mins
45 Things To Do Before You're 45: A Novel,By: Julia Tuffs,Length: 9 hrs and 57 mins
Lost Light: The Complete Survival Thriller Series Box Set,By: Kyla Stone,Length: 55 hrs and 51 mins
Black AF History,By: Michael Harriot,Length: 15 hrs and 42 mins
Counting Miracles,By: Nicholas Sparks,Length: 10 hrs and 45 mins
Lost Light: The Complete Survival Thriller Series Box Set,By: Kyla Stone,Length: 55 hrs and 51 mins
Fight. Level. Survive.,By: xrmaze,Length: 12 hrs and 21 mins
Black AF History,By: Michael Harriot,Length: 15 hrs and 42 mins
Counting Miracles,By: Nicholas Sparks,Length: 10 hrs and 45 mins
The Ageless Revolution,By: Michael Aziz,Length: 13 hrs and 50 mins
The Universe in Verse,"By: Maria Popova, Ofra Amit - illustrator",Length: 1 hr and 28 mins
For Love or Scandal,By: J. J. Arias,Length: 10 hrs and 52 mins
He Who Fights with Monsters 2,"By: Shirtaloon, Travis Deverell",Length: 22 hrs and 1 min
Cadaver: The Complete Zombie Apocalypse Series,By: Nick Clausen,Length: 36 hrs and 54 mins
No Fault,By: Haley Mlotek,Length: 7 hrs and 36 mins
Pucking Around,By: Emily Rath,Length: 24 hrs and 41 mins
Wind and Truth,By: Brandon Sanderson,Length: 62 hrs and 48 mins
Most Likely to Score,By: Lauren Blakely,Length: 6 hrs and 58 mins
11-22-63,By: Stephen King,Length: 30 hrs and 40 mins
Able Bodied Soldier 1,"By: Jason Anspach, J.N. Chaney",Length: 12 hrs and 47 mins
Hábitos atómicos (Español neutro),By: James Clear,Length: 9 hrs and 1 min
North Woods,By: Daniel Mason,Length: 11 hrs and 5 mins
Dune,By: Frank Herbert,Length: 21 hrs and 2 mins
Rocky Mountain Venom,By: Elle James,Length: 5 hrs and 19 mins
Sound Therapy: Cortisol Reduction (111 Hz),"By: Audio Up INC., Audible Sleep",Length: 20 mins
Can't Hurt Me,By: David Goggins,Length: 13 hrs and 37 mins
Dune Messiah,By: Frank Herbert,Length: 8 hrs and 57 mins
The Stand,By: Stephen King,Length: 47 hrs and 47 mins
Beacon of Blight,By: S J Richards,Length: 8 hrs and 9 mins
Cozy Witch Mysteries: Special Edition Box Set of 8 Books,By: Angela Pepper,Length: 77 hrs and 20 mins
A Fate so Cruel,By: J.E. Reed,Length: 14 hrs and 11 mins
Catching Fire,By: Suzanne Collins,Length: 11 hrs and 3 mins
The Kiss Lottery,By: Ilsa Madden-Mills,Length: 4 hrs and 15 mins
Galactic Outlaws,"By: Jason Anspach, Nick Cole",Length: 10 hrs and 9 mins
Autumn's Trap,By: Mary Stone,Length: 8 hrs and 43 mins
Disney*Pixar Storybook Collection,By: Disney Press,Length: 5 hrs and 33 mins
Halo: Empty Throne,By: Jeremy Patenaude,Length: 17 hrs and 43 mins
Interstellar Pawn,By: Dawn Chapman,Length: 14 hrs and 16 mins
Nameless Sovereign 3,By: Nameless Author,Length: 12 hrs and 37 mins
Fate of the Sun King,By: Nisha J. Tuli,Length: 15 hrs and 30 mins
House of Earth and Blood,By: Sarah J. Maas,Length: 27 hrs and 50 mins
"The Witches of Scotland: The Complete Series, Books 1-8",By: Steven P Aitchison,Length: 32 hrs and 7 mins
Revenge of the Tipping Point,By: Malcolm Gladwell,Length: 8 hrs and 25 mins
Son of a Witch,By: Gregory Maguire,Length: 14 hrs and 16 mins
Diary of a Wimpy Kid: Hot Mess,By: Jeff Kinney,Length: 2 hrs and 6 mins
Halo: Empty Throne,By: Jeremy Patenaude,Length: 17 hrs and 43 mins
Interstellar Pawn,By: Dawn Chapman,Length: 14 hrs and 16 mins
Nameless Sovereign 3,By: Nameless Author,Length: 12 hrs and 37 mins
Fate of the Sun King,By: Nisha J. Tuli,Length: 15 hrs and 30 mins
Compliments of the Chef,By: Leigh Fenty,Length: 8 hrs and 3 mins
House of Earth and Blood,By: Sarah J. Maas,Length: 27 hrs and 50 mins
"The Witches of Scotland: The Complete Series, Books 1-8",By: Steven P Aitchison,Length: 32 hrs and 7 mins
Son of a Witch,By: Gregory Maguire,Length: 14 hrs and 16 mins
Diary of a Wimpy Kid: Hot Mess,By: Jeff Kinney,Length: 2 hrs and 6 mins
Jurassic Park,By: Michael Crichton,Length: 15 hrs and 10 mins
Warrior Fae,"By: Caroline Peckham, Susanne Valenti",Length: 29 hrs and 37 mins
The Thursday Murder Club,By: Richard Osman,Length: 12 hrs and 26 mins
King of Wrath,By: Ana Huang,Length: 12 hrs and 5 mins
The David Wolf Mystery Thriller Series: Books 11-13,By: Jeff Carson,Length: 20 hrs and 58 mins
ChatGPT Social Media Empire 2025,By: Max Codex,Length: 8 hrs and 11 mins
The Crimson Trail and Other Stories,By: Brenda Seabrooke,Length: 8 hrs and 15 mins
A Court of Wings and Ruin (1 of 3) [Dramatized Adaptation],By: Sarah J. Maas,Length: 6 hrs and 11 mins
It Starts with Us,By: Colleen Hoover,Length: 8 hrs and 41 mins
The Late Lord Thorpe,By: Peter Grainger,Length: 14 hrs and 39 mins
The Keeper Chronicles: The Complete Trilogy,By: JA Andrews,Length: 46 hrs and 32 mins
How to Flirt with a Hellhound,By: Shannon Mae,Length: 5 hrs and 51 mins
The Thursday Murder Club,By: Richard Osman,Length: 12 hrs and 26 mins
House of Flame and Shadow,By: Sarah J. Maas,Length: 29 hrs and 42 mins
The Silmarillion,"By: J. R. R. Tolkien, Christopher Tolkien",Length: 19 hrs and 24 mins
Self Help,"By: Gabrielle Bernstein, Richard C. Schwartz - foreword",Length: 6 hrs and 1 min
Night Sweats,By: Beau Savage,Length: 7 hrs and 12 mins
"Listener's Audio Bible—New International Version, NIV: Complete Bible",By: Max McLean,Length: 75 hrs and 14 mins
Demon Copperhead,By: Barbara Kingsolver,Length: 21 hrs and 3 mins
30 Days to a New Relationship with Alcohol,"By: Holly Whitaker, 30-Day Guides to Improve Your Life",Length: 3 hrs and 52 mins
Commune 7: Bloody Sun,"By: Joshua Gayou, Devon C. Ford",Length: 17 hrs and 34 mins
Asking for Trouble,By: Giana Darling,Length: 9 hrs and 38 mins
Death of a Smuggler,"By: M. C. Beaton, R.W. Green",Length: 6 hrs and 34 mins
Beautiful Assassin,By: Stephanie Nicole Norris,Length: 4 hrs and 48 mins
Scent of Panic,By: Laura Scott,Length: 7 hrs and 8 mins
Effective Co-Parenting with a Narcissistic Ex,By: Stephanie Barnes,Length: 4 hrs and 33 mins
The Let Them Theory,By: Mel Robbins,Length: 10 hrs and 38 mins
Quicksilver,By: Callie Hart,Length: 20 hrs and 41 mins
Never Finished,By: David Goggins,Length: 11 hrs and 6 mins
The Subtle Art of Not Giving a F*ck,By: Mark Manson,Length: 5 hrs and 17 mins
The Brave,By: Dannika Dark,Length: 11 hrs and 52 mins
The Secrets We Hide,By: Berlin Wick,Length: 8 hrs and 49 mins
The Hobbit,By: J. R. R. Tolkien,Length: 10 hrs and 25 mins
The Great Alone,By: Kristin Hannah,Length: 15 hrs and 3 mins
Most Likely to Score,By: Lauren Blakely,Length: 6 hrs and 58 mins
The Three Lives of Cate Kay,By: Kate Fagan,Length: 9 hrs and 52 mins
Hunting Adeline,By: H. D. Carlton,Length: 21 hrs and 49 mins
Kingdom of Ash,By: Sarah J. Maas,Length: 33 hrs and 11 mins
Hand of God,By: Jack Slater,Length: 10 hrs and 28 mins
Remarkably Bright Creatures,By: Shelby Van Pelt,Length: 11 hrs and 16 mins
Outlive,"By: Peter Attia MD, Bill Gifford - contributor",Length: 17 hrs and 7 mins
Burning Ember,By: Darby Briar,Length: 15 hrs and 49 mins
Hercule Poirot: The Complete Short Stories,By: Agatha Christie,Length: 35 hrs and 5 mins
Deep Sleep & Rapid Weight Loss Hypnosis (2 in 1),By: Kelly Robins,Length: 10 hrs and 49 mins
Ship Wrecked,By: Mark Wayne McGinnis,Length: 8 hrs and 51 mins
The Return of the King,By: J. R. R. Tolkien,Length: 21 hrs and 52 mins
The Belvedere Murders,By: Karen Baugh Menuhin,Length: 8 hrs and 38 mins
Cher: Part One,By: Cher,Length: 15 hrs and 47 mins
The Way of Kings,By: Brandon Sanderson,Length: 45 hrs and 30 mins
Dolls & Mirrors,By: Riano McFarland,Length: 5 hrs and 42 mins
"Anxiety, Depression, and Jesus",By: Aaron Hoover,Length: 3 hrs and 4 mins
